frame,obj_cls,obj_id,x,y,w,h
31,0,8,881.1432,652.6931,78.12616,134.61371
31,0,9,1052.7673,261.32437,71.434875,150.07164
32,0,1,929.95337,272.45654,71.9444,141.39388
32,0,2,568.5108,357.4971,120.133514,113.264465
32,0,3,1051.3617,581.1509,150.26855,103.95734
32,0,4,581.3503,92.434074,140.00366,76.84465
32,0,5,683.0054,318.45404,115.66376,116.27518
32,0,6,647.43634,618.1621,87.04236,154.33282
32,0,7,77.88792,429.06247,151.57921,78.68579
32,0,8,881.1273,652.6898,78.09564,134.62042
32,0,9,1052.7383,261.37778,71.62244,149.99046
33,0,1,929.9625,272.45068,72.010925,141.36806
33,0,2,568.4691,357.51727,120.306915,113.228485
33,0,3,1051.3768,581.1404,150.53705,103.9505
33,0,4,581.3836,92.440475,139.69101,76.84396
33,0,5,683.00635,318.47565,115.55817,116.29056
33,0,6,647.4657,618.1365,87.63165,154.25763
33,0,7,77.88641,429.06226,151.44955,78.67374
33,0,8,881.11975,652.69006,78.06439,134.61981
33,0,9,1052.726,261.39847,71.816895,149.9698
34,0,1,929.96704,272.4418,72.07721,141.35497
34,0,2,568.4127,357.50763,120.49509,113.21106
34,0,3,1051.3816,581.13727,150.79163,103.95215
34,0,4,581.39294,92.43315,139.38882,76.83242
34,0,5,683.0078,318.483,115.45917,116.30292
34,0,6,647.4706,618.13904,88.20386,154.25732
34,0,7,77.8822,429.0586,151.37778,78.69028
34,0,8,881.119,652.6902,78.03601,134.61963
34,0,9,1052.7141,261.40344,71.99963,149.96269
35,0,1,929.97046,272.43625,72.14136,141.35063
35,0,2,568.38916,357.49863,120.68509,113.21112
35,0,3,1051.3877,581.1373,151.02307,103.953674
35,0,4,581.38544,92.42616,139.12302,76.82535
35,0,5,683.0003,318.48456,115.36133,116.30847
35,0,6,647.4645,618.1496,88.73505,154.28003
35,0,7,77.891624,429.06543,151.26723,78.67844
35,0,8,881.11646,652.6904,78.010254,134.6192
35,0,9,1052.7065,261.4043,72.16852,149.9622
36,0,1,929.97327,272.42914,72.19812,141.34236
36,0,2,568.3955,357.4915,120.862915,113.2193
36,0,3,1051.3925,581.1388,151.2356,103.95697
36,0,4,581.3749,92.41667,138.86807,76.80949
36,0,5,682.9977,318.48303,115.26947,116.309875
36,0,6,647.4535,618.1623,89.21869,154.30603
36,0,7,77.903534,429.06442,151.19891,78.68561
36,0,8,881.11365,652.6914,77.98663,134.61719
36,0,9,1052.7019,261.40204,72.3244,149.9685
37,0,1,929.9767,272.43085,72.25549,141.34848
37,0,2,568.453,357.4779,120.99948,113.21542
37,0,3,1051.3925,581.1405,151.43256,103.96393
37,0,4,581.35345,92.410774,138.65088,76.800735
37,0,5,682.9946,318.4806,115.18378,116.30887
37,0,6,647.4408,618.1732,89.66095,154.33856
37,0,7,77.906784,429.06683,151.09647,78.67035
37,0,8,881.1138,652.693,77.96399,134.61395
37,0,9,1052.6995,261.39993,72.46472,149.97316
38,0,1,929.69666,272.4093,72.46887,141.56787
38,0,2,567.84094,357.8794,120.35306,112.397736
38,0,3,1051.5594,581.12244,150.92584,103.42206
38,0,4,581.67957,92.33344,138.35797,76.814316
38,0,5,683.08795,318.56042,115.23645,116.530914
38,0,6,647.9454,617.8406,89.71301,153.29382
38,0,7,77.66345,428.93222,151.29996,78.82489
38,0,8,880.73444,652.619,78.13855,134.76196
38,0,9,1052.7336,261.24023,72.331116,149.41582
39,0,1,929.595,272.3943,72.6087,141.66446
39,0,2,567.6157,358.02686,120.23605,112.09686
39,0,3,1051.6296,581.11237,150.89978,103.22998
39,0,4,581.8014,92.29801,138.09729,76.829605
39,0,5,683.12415,318.59796,115.17572,116.62491
39,0,6,648.1244,617.72504,90.09027,152.92493
39,0,7,77.567,428.88477,151.29349,78.86331
39,0,8,880.5862,652.57837,78.2641,134.84332
39,0,9,1052.7483,261.182,72.35724,149.21535
40,0,1,929.55347,272.3767,72.68854,141.65747
40,0,2,567.5364,358.0802,120.308044,111.99136
40,0,3,1051.6431,581.10815,151.04712,103.176575
40,0,4,581.8248,92.287,137.84467,76.83194
40,0,5,683.13257,318.61487,115.06305,116.65213
40,0,6,648.17957,617.6931,90.547,152.78949
40,0,7,77.54077,428.85443,151.29901,78.9075
40,0,8,880.5302,652.5742,78.34204,134.8515
40,0,9,1052.7534,261.1694,72.42218,149.11531
41,0,1,929.5458,272.3672,72.76257,141.64944
41,0,2,567.51526,358.09903,120.43622,111.95355
41,0,3,1051.6693,581.11707,151.2254,103.16321
41,0,4,581.8281,92.28281,137.61737,76.835976
41,0,5,683.14307,318.6239,114.96539,116.682526
41,0,6,648.1947,617.6795,91.02008,152.7716
